page,id,title,url,path,header_image_url,annotation_count,pyongs_count,primaryartist_id,primaryartist_name,primaryartist_url,primaryartist_imageurl
1,4063065,"​thank u, next",https://genius.com/Ariana-grande-thank-u-next-lyrics,/Ariana-grande-thank-u-next-lyrics,https://images.genius.com/f1a498312aa81216bd983a0def533f80.1000x1000x1.jpg,10,287,26507,Ariana Grande,https://genius.com/artists/Ariana-grande,https://images.genius.com/f020185ef3e44f2c1c7a86ed8aae4c99.900x900x1.jpg
1,3681280,​God is a woman,https://genius.com/Ariana-grande-god-is-a-woman-lyrics,/Ariana-grande-god-is-a-woman-lyrics,https://images.genius.com/4ce400230c1a7c341bd83d8b5c5f8772.1000x1000x1.jpg,9,298,26507,Ariana Grande,https://genius.com/artists/Ariana-grande,https://images.genius.com/f020185ef3e44f2c1c7a86ed8aae4c99.900x900x1.jpg
1,2457495,Side to Side,https://genius.com/Ariana-grande-side-to-side-lyrics,/Ariana-grande-side-to-side-lyrics,https://images.genius.com/aaceff4fb3a4e4f2b7626a4a4d177938.640x422x1.jpg,20,96,26507,Ariana Grande,https://genius.com/artists/Ariana-grande,https://images.genius.com/f020185ef3e44f2c1c7a86ed8aae4c99.900x900x1.jpg
1,3649172,​​no tears left to cry,https://genius.com/Ariana-grande-no-tears-left-to-cry-lyrics,/Ariana-grande-no-tears-left-to-cry-lyrics,https://images.genius.com/9ea6c6b588afc1035ecb398f4b3291a6.1000x1000x1.jpg,9,243,26507,Ariana Grande,https://genius.com/artists/Ariana-grande,https://images.genius.com/f020185ef3e44f2c1c7a86ed8aae4c99.900x900x1.jpg
1,3681287,​​breathin,https://genius.com/Ariana-grande-breathin-lyrics,/Ariana-grande-breathin-lyrics,https://images.genius.com/79ba687f1d1eb0fbebcde2aeda7c211f.939x939x1.jpg,8,110,26507,Ariana Grande,https://genius.com/artists/Ariana-grande,https://images.genius.com/f020185ef3e44f2c1c7a86ed8aae4c99.900x900x1.jpg
1,3788156,​pete davidson,https://genius.com/Ariana-grande-pete-davidson-lyrics,/Ariana-grande-pete-davidson-lyrics,https://images.genius.com/49f67bea2f0a72f8a8448c28b4964667.1000x1000x1.jpg,5,37,26507,Ariana Grande,https://genius.com/artists/Ariana-grande,https://images.genius.com/f020185ef3e44f2c1c7a86ed8aae4c99.900x900x1.jpg
1,486355,Bang Bang,https://genius.com/Jessie-j-ariana-grande-and-nicki-minaj-bang-bang-lyrics,/Jessie-j-ariana-grande-and-nicki-minaj-bang-bang-lyrics,https://images.genius.com/ddba7b9396e83446ec93aa03add39df6.300x300x1.png,27,689,1212411,"Jessie J, Ariana Grande & Nicki Minaj",https://genius.com/artists/Jessie-j-ariana-grande-and-nicki-minaj,https://images.genius.com/e4301f7a8cf25c6f06b44f1cd6b86706.1000x1000x1.jpg
1,3681276,​R.E.M,https://genius.com/Ariana-grande-rem-lyrics,/Ariana-grande-rem-lyrics,https://images.genius.com/49f67bea2f0a72f8a8448c28b4964667.1000x1000x1.jpg,10,63,26507,Ariana Grande,https://genius.com/artists/Ariana-grande,https://images.genius.com/f020185ef3e44f2c1c7a86ed8aae4c99.900x900x1.jpg
1,2437285,Let Me Love You,https://genius.com/Ariana-grande-let-me-love-you-lyrics,/Ariana-grande-let-me-love-you-lyrics,https://images.genius.com/8060fd54be290b3976afaeaf3f3e7c5c.1000x659x1.jpg,15,63,26507,Ariana Grande,https://genius.com/artists/Ariana-grande,https://images.genius.com/f020185ef3e44f2c1c7a86ed8aae4c99.900x900x1.jpg
1,3690801,​the light is coming,https://genius.com/Ariana-grande-the-light-is-coming-lyrics,/Ariana-grande-the-light-is-coming-lyrics,https://images.genius.com/6730fc79ed3e9214447133d8b9a11dcb.1000x1000x1.jpg,9,123,26507,Ariana Grande,https://genius.com/artists/Ariana-grande,https://images.genius.com/f020185ef3e44f2c1c7a86ed8aae4c99.900x900x1.jpg
