page,id,title,url,path,header_image_url,annotation_count,pyongs_count,primaryartist_id,primaryartist_name,primaryartist_url,primaryartist_imageurl
1,235729,Rap God,https://genius.com/Eminem-rap-god-lyrics,/Eminem-rap-god-lyrics,https://images.genius.com/f34a7aec842b1690e09b6c1a71706b03.1000x1000x1.png,122,5818,45,Eminem,https://genius.com/artists/Eminem,https://images.genius.com/b379811c1415017b9f3e3a71b9d26060.400x400x1.jpg
1,3958196,Killshot,https://genius.com/Eminem-killshot-lyrics,/Eminem-killshot-lyrics,https://images.genius.com/6d5a39052f6a0b63e30af6681e0010f1.1000x563x1.jpg,58,1405,45,Eminem,https://genius.com/artists/Eminem,https://images.genius.com/b379811c1415017b9f3e3a71b9d26060.400x400x1.jpg
1,235732,The Monster,https://genius.com/Eminem-the-monster-lyrics,/Eminem-the-monster-lyrics,https://images.genius.com/f8e3befb0dfae2eaa6833b4374f1b372.1000x1000x1.png,43,806,45,Eminem,https://genius.com/artists/Eminem,https://images.genius.com/b379811c1415017b9f3e3a71b9d26060.400x400x1.jpg
1,207,Lose Yourself,https://genius.com/Eminem-lose-yourself-lyrics,/Eminem-lose-yourself-lyrics,https://images.genius.com/ce61c1b2664c5952984e30f9b59f1346.1000x1000x1.png,42,1110,45,Eminem,https://genius.com/artists/Eminem,https://images.genius.com/b379811c1415017b9f3e3a71b9d26060.400x400x1.jpg
1,3930546,The Ringer,https://genius.com/Eminem-the-ringer-lyrics,/Eminem-the-ringer-lyrics,https://images.genius.com/160b53c324c4cdeb709b605d3a591598.1000x1000x1.png,50,567,45,Eminem,https://genius.com/artists/Eminem,https://images.genius.com/b379811c1415017b9f3e3a71b9d26060.400x400x1.jpg
1,3930558,Lucky You,https://genius.com/Eminem-lucky-you-lyrics,/Eminem-lucky-you-lyrics,https://images.genius.com/7c842838d19e1201f908e81740f48e5c.1000x563x1.jpg,37,505,45,Eminem,https://genius.com/artists/Eminem,https://images.genius.com/b379811c1415017b9f3e3a71b9d26060.400x400x1.jpg
1,3350680,River,https://genius.com/Eminem-river-lyrics,/Eminem-river-lyrics,https://images.genius.com/2916349e8043b8a2f4a43c9a19eb06e4.1000x1000x1.jpg,13,416,45,Eminem,https://genius.com/artists/Eminem,https://images.genius.com/b379811c1415017b9f3e3a71b9d26060.400x400x1.jpg
1,210094,Berzerk,https://genius.com/Eminem-berzerk-lyrics,/Eminem-berzerk-lyrics,https://images.genius.com/a47bb228d28fd8a0e6e73abfabef7832.1000x1000x1.jpg,57,417,45,Eminem,https://genius.com/artists/Eminem,https://images.genius.com/b379811c1415017b9f3e3a71b9d26060.400x400x1.jpg
1,3930594,Venom (Music from the Motion Picture),https://genius.com/Eminem-venom-music-from-the-motion-picture-lyrics,/Eminem-venom-music-from-the-motion-picture-lyrics,https://images.genius.com/2e3928d50f8c1bd87615d71a594804df.1000x563x1.jpg,30,431,45,Eminem,https://genius.com/artists/Eminem,https://images.genius.com/b379811c1415017b9f3e3a71b9d26060.400x400x1.jpg
1,3930586,Fall,https://genius.com/Eminem-fall-lyrics,/Eminem-fall-lyrics,https://images.genius.com/d384d90186921d2df3617ffb6dde27ed.1000x563x1.jpg,31,256,45,Eminem,https://genius.com/artists/Eminem,https://images.genius.com/b379811c1415017b9f3e3a71b9d26060.400x400x1.jpg
